CATCODE,CLASS,SUBCLASS,NAME,NUM_1,UNIT_1,H,COUNTY,ST,LATITUDE,LONGITUDE,ALT (ft ASL),R95 (sm),VNTK_M,VNTK_S,DATE REVIEWED,REVIEWER,CHANGE_LOG1,
75200,OMT,MILITARY BASES,CLEAR AFS,1,,US,DENALI,AK,64.28842,-149.19156,593,2.5,09P0,12P0,20220201,DMT,,
85100,LC3,RADAR SYSTEMS,SSPARS AN/FPS-132 UEWR CLEAR AFS AK,1,,US,DENALI,AK,64.30020,-149.18977,580,0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",DILLINGHAM,"34,496",EMB/YR,US,DILLINGHAM,AK,59.04467,-158.50550,76,0.60,09P0,12P0,20201015,DMT,,
99999,OMT,"MILITARY FORCES, AIRCRAFT",168TH WING (KC-135R),1,ARS,US,FAIRBANKS NORTH STAR,AK,64.66878,-147.09725,542,0.25,12P0,14P0,20220202,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-02 AN/FPS-117 MURPHY DOME AK,1,,US,FAIRBANKS NORTH STAR,AK,64.95193,-148.35679,"2,919",0.03,10Q7,10Q7,20220202,DMT,,
21110,ECON,OIL REFINERIES,ARCTIC SLOPE REGIONAL,"19,700",BBLPD,US,FAIRBANKS NORTH STAR,AK,64.73626,-147.34823,507,0.25,13Q7,15Q7,20210616,DMT,,
75200,OMT,MILITARY BASES,EIELSON AFB,1,,US,FAIRBANKS NORTH STAR,AK,64.67406,-147.06020,536,5.5,09P0,12P0,20220201,DMT,,
80030,OMT,"AIRFIELDS, MILITARY",EIELSON AFB,1,EMB/YR,US,FAIRBANKS NORTH STAR,AK,64.66564,-147.10144,541,2.2,09P0,12P0,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",FAIRBANKS INTERNATIONAL,"562,420",EMB/YR,US,FAIRBANKS NORTH STAR,AK,64.81511,-147.85644,422,1.5,09P0,12P0,20201015,DMT,,
75200,OMT,MILITARY BASES,FORT WAINWRIGHT,1,,US,FAIRBANKS NORTH STAR,AK,64.82779,-147.64292,519,24,09P0,12P0,20220201,DMT,,
80030,OMT,"AIRFIELDS, MILITARY",LADD AAF,1,EMB/YR,US,FAIRBANKS NORTH STAR,AK,64.83761,-147.61449,451,0.95,09P0,12P0,20220202,DMT,,
21110,ECON,OIL REFINERIES,PETRO STAR,"19,700",BBLPD,US,FAIRBANKS NORTH STAR,AK,64.73242,-147.34401,503,0.10,13Q7,15Q7,20210616,DMT,,
21820,OMT,POL STORAGE,POL STORAGE EIELSON AFB 1,1,,US,FAIRBANKS NORTH STAR,AK,64.66507,-147.08895,542,0.05,21Q9,21Q9,20220202,DMT,,
21820,OMT,POL STORAGE,POL STORAGE EIELSON AFB 2,1,,US,FAIRBANKS NORTH STAR,AK,64.65166,-147.07729,557,0.05,21Q9,21Q9,20220202,DMT,,
21820,OMT,POL STORAGE,POL STORAGE EIELSON AFB 3,1,,US,FAIRBANKS NORTH STAR,AK,64.64930,-147.06139,552,0.05,21Q9,21Q9,20220202,DMT,,
21820,OMT,POL STORAGE,POL STORAGE EIELSON AFB 4,1,,US,FAIRBANKS NORTH STAR,AK,64.65964,-147.05609,548,0.05,21Q9,21Q9,20220202,DMT,,
21820,OMT,POL STORAGE,POL STORAGE EIELSON AFB 5,1,,US,FAIRBANKS NORTH STAR,AK,64.65603,-147.04576,547,0.20,21Q9,21Q9,20220202,DMT,,
42100,ECON,THERMAL POWER PLANTS,TPP BOWEN,"3,499",MW,US,BARTOW,GA,34.12509,-84.92173,733,0.20,14Q7,18Q7,20220202,DMT,,
84000,LC3,SPACE SYSTEMS,NOAA SATCOM GROUND STATION (DMSP-FCDAS) FAIRBANKS AK,1,,US,FAIRNANKS NORTH STAR,AK,64.97598,-147.50903,"1,032",0.40,09P0,12P0,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",GUSTAVUS,"11,023",EMB/YR,US,HOONAH-ANGOON,AK,58.42528,-135.70742,30,0.65,09P0,12P0,20201015,DMT,,
74200,LC3,STATE CAPITOL,ALASKA STATE CAPITOL,1,,US,JUNEAU,AK,58.30085,-134.40695,36,0.10,10P0,12P2,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",JUNEAU INTERNATIONAL,"459,191",EMB/YR,US,JUNEAU,AK,58.35471,-134.57847,26,1.0,09P0,12P0,20201015,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-14 AN/FPS-117 KENAI AK,1,,US,KENAI PENINSULA,AK,60.61551,-151.28315,110,0.03,10Q7,10Q7,20220202,DMT,,
42200,ECON,HE POWER PLANTS,HEPP (GRAND COULEE),"6,809",MW,US,OKANOGAN,WA,47.95800,-118.97553,"1,016",0.25,16Q8,18Q8,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",HOMER,"46,867",EMB/YR,US,KENAI PENINSULA,AK,59.64500,-151.48581,31,0.90,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",KENAI MUNICIPAL,"95,239",EMB/YR,US,KENAI PENINSULA,AK,60.57328,-151.24483,92,0.90,09P0,12P0,20201015,DMT,,
21110,ECON,OIL REFINERIES,MARATHON PETROLEUM KENAI,"72,000",BBLPD,US,KENAI PENINSULA,AK,60.68516,-151.36714,133,0.25,13Q7,15Q7,20220202,DMT,,
25210,ECON,AMMONIA PRODUCTION,NUTRIEN KENAI AK,767,MTPD,US,KENAI PENINSULA,AK,60.67397,-151.37977,122,0.25,14Q7,18Q8,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",SOLDOTNA,6,EMB/YR,US,KENAI PENINSULA,AK,60.47514,-151.03964,96,0.50,09P0,12P0,20201015,DMT,,
42100,ECON,THERMAL POWER PLANTS,TPP CRYSTAL RIVER,"3,499",MW,US,CITRUS,FL,28.96713,-82.69755,9,0.15,14Q7,18Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",KETCHIKAN INTERNATIONAL,"137,090",EMB/YR,US,KETCHIKAN GATEWAY,AK,55.35408,-131.71122,100,0.70,09P0,12P0,20201015,DMT,,
75200,OMT,MILITARY BASES,CGAS KODIAK,1,,US,KODIAK ISLAND,AK,57.73817,-152.50570,26,0.25,09P0,12P0,20220204,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",KODIAK,"85,655",EMB/YR,US,KODIAK ISLAND,AK,57.74979,-152.49394,47,1.1,09P0,12P0,20201015,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-10 AN/FPS-117 CAPE ROMANZOV AK,1,,US,KUSILVAK,AK,61.78467,-165.94543,"2,296",0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",ILIAMNA,"5,553",EMB/YR,US,LAKE AND PENINSULA,AK,59.75558,-154.91775,168,0.80,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",WARREN BUD WOODS PALMER MUNICIPAL,38,EMB/YR,US,MATANUSKA-SUSITNA,AK,61.59492,-149.08872,220,0.75,09P0,12P0,20201015,DMT,,
75200,OMT,MILITARY BASES,ALASKA ARNG ALCANTRA ARMORY COMPLEX,1,,US,MATANUSKA-SUSNITA,AK,61.60305,-149.37485,449,0.50,09P0,12P0,20220201,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-11 AN/FPS-117 TIN CITY AK,1,,US,NOME,AK,65.57552,-168.01046,"2,297",0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",NOME,"65,087",EMB/YR,US,NOME,AK,64.51256,-165.44439,18,0.65,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",UNALAKLEET,"16,208",EMB/YR,US,NOME,AK,63.88850,-160.79911,21,0.70,09P0,12P0,20201015,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-13 AN/FPS-117 CAPE LISBURNE AK,1,,US,NORTH SLOPE,AK,68.87043,-166.15101,"1,570",0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",DEADHORSE,"43,655",EMB/YR,US,NORTH SLOPE,AK,70.19475,-148.46516,53,0.60,09P0,12P0,20201015,DMT,,
85100,LC3,RADAR SYSTEMS,NORTH WARNING SYSTEM LRRS BAR-M AN/FPS-117 BARTER ISLAND AK,1,,US,NORTH SLOPE,AK,70.13043,-143.63664,35,0.03,10Q7,10Q7,20220202,DMT,,
85100,LC3,RADAR SYSTEMS,NORTH WARNING SYSTEM LRRS POW-2 AN/FPS-117 OLIKTOK AK,1,,US,NORTH SLOPE,AK,70.49826,-149.88912,4,0.03,10Q7,10Q7,20220202,DMT,,
85100,LC3,RADAR SYSTEMS,NORTH WARNING SYSTEM LRRS POW-M AN/FPS-117 POINT BARROW AK,1,,US,NORTH SLOPE,AK,71.32753,-156.63484,10,0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",WILEY POST-WILL ROGERS MEMORIAL,"46,450",EMB/YR,US,NORTH SLOPE,AK,71.28486,-156.76858,15,0.60,09P0,12P0,20201015,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-12 AN/FPS-117 KOTZEBUE AK,1,,US,NORTHWEST ARCTIC,AK,66.84319,-162.59547,148,0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",RALPH WIEN MEMORIAL,"67,876",EMB/YR,US,NORTHWEST ARCTIC,AK,66.88481,-162.59814,2,0.80,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",RED DOG,"12,429",EMB/YR,US,NORTHWEST ARCTIC,AK,68.03211,-162.89919,975,0.60,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",PETERSBURG JAMES A JOHNSON,"24,520",EMB/YR,US,PETERSBURG,AK,56.80147,-132.94622,71,0.70,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",KLAWOCK,"13,503",EMB/YR,US,PRINCE OF WALES-HYDER,AK,55.57922,-133.07600,29,0.45,09P0,12P0,20201015,DMT,,
75200,OMT,MILITARY BASES,CGAS SITKA,1,,US,SITKA,AK,57.05473,-135.36899,19,0.10,09P0,12P0,20220204,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",SITKA ROCKY GUTIERREZ,"90,839",EMB/YR,US,SITKA,AK,57.04683,-135.36107,8,0.70,09P0,12P0,20201015,DMT,,
80030,OMT,"AIRFIELDS, MILITARY",ALLEN AAF,1,EMB/YR,US,SOUTHEAST FAIRBANKS,AK,63.99517,-145.72006,"1,259",0.75,09P0,12P0,20220202,DMT,,
75200,OMT,MILITARY BASES,FORT GREELY,1,,US,SOUTHEAST FAIRBANKS,AK,63.96676,-145.71512,"1,334",2.8,09P0,12P0,20220201,DMT,,
82100,OMT,MISSILE DEFENSE,FORT GREELY GROUND MISSILE DEFENSE,1,,US,SOUTHEAST FAIRBANKS,AK,63.95240,-145.72119,"1,375",0.10,45P8,48L9,20220202,DMT,,
75200,OMT,MILITARY BASES,CGAF CORDOVA,1,,US,VALDEZ-CORDOVA,AK,60.49637,-145.48056,48,0.05,09P0,12P0,20220204,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",GULKANA,48,EMB/YR,US,VALDEZ-CORDOVA,AK,62.15494,-145.45433,"1,568",0.50,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",WRANGELL,"14,033",EMB/YR,US,WRANGELL,AK,56.48433,-132.36983,20,0.60,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",YAKUTAT,"11,800",EMB/YR,US,YAKUTAT,AK,59.50332,-139.66027,20,1.0,09P0,12P0,20201015,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-01 AN/FPS-117 FORT YUKON AK,1,,US,YUKON-KOYUKUK,AK,66.56084,-145.20951,427,0.03,10Q7,10Q7,20220202,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-03 AN/FPS-117 INDIAN MOUNTAIN AK,1,,US,YUKON-KOYUKUK,AK,66.06873,-153.68625,"4,209",0.03,10Q7,10Q7,20220202,DMT,,
85100,LC3,RADAR SYSTEMS,ALASKA RADAR SYSTEM LRRS A-05 AN/FPS-117 TATALINA AK,1,,US,YUKON-KOYUKUK,AK,62.92919,-156.01435,"3,198",0.03,10Q7,10Q7,20220202,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",EDWARD G PITKA SR,"9,440",EMB/YR,US,YUKON-KOYUKUK,AK,64.73620,-156.93496,126,0.60,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",MCGRATH,"2,006",EMB/YR,US,YUKON-KOYUKUK,AK,62.95278,-155.60705,332,0.70,09P0,12P0,20201015,DMT,,
42100,ECON,THERMAL POWER PLANTS,TPP GIBSON,"3,340",MW,US,GIBSON,IN,38.37222,-87.76583,416,0.13,14Q7,18Q7,20220202,DMT,,
42100,ECON,THERMAL POWER PLANTS,TPP MONROE,"3,293",MW,US,MONROE,MI,41.89123,-83.34530,582,0.11,14Q7,18Q7,20220202,DMT,,
42100,ECON,THERMAL POWER PLANTS,TPP MANATEE,"2,951",MW,US,MANATEE,FL,27.60531,-82.34507,54,0.15,14Q7,18Q7,20220202,DMT,,
75200,OMT,MILITARY BASES,BARIN FIELD,1,,US,BALDWIN,AL,30.39191,-87.63243,45,0.70,09P0,12P0,20220201,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",H L (SONNY) CALLAHAN,104,EMB/YR,US,BALDWIN,AL,30.46050,-87.87703,66,0.65,09P0,12P0,20201015,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",JACK EDWARDS NATIONAL,129,EMB/YR,US,BALDWIN,AL,30.28964,-87.67178,15,0.80,09P0,12P0,20201015,DMT,,
44110,ECON,"BRIDGES, INTERSTATE HWY",MIDDLE RIVER I-65 AL,1,,US,BALDWIN,AL,30.93129,-87.92329,15,0.30,17Q8,23Q8,20220202,DMT,,
44110,ECON,"BRIDGES, INTERSTATE HWY",MOBILE BAY I-10 & US-98 AL,1,,US,BALDWIN,AL,30.67812,-87.98725,5,0.50,17Q8,23Q8,20220202,DMT,,
75200,OMT,MILITARY BASES,NOLF SUMMERDALE,1,,US,BALDWIN,AL,30.50804,-87.64720,129,0.50,09P0,12P0,20220201,DMT,,
75200,OMT,MILITARY BASES,STAGEFIELD LOUISVILLE,1,,US,BARBOUR,AL,31.81574,-85.64980,372,0.25,09P0,12P0,20220201,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",WEEDON FIELD,19,EMB/YR,US,BARBOUR,AL,31.95131,-85.12892,283,0.50,09P0,12P0,20201015,DMT,,
75200,OMT,MILITARY BASES,ALABAMA ARNG FORT MCLELLAN TC,1,,US,CALHOUN,AL,33.73361,-85.78798,754,0.80,09P0,12P0,20220201,DMT,,
75200,OMT,MILITARY BASES,ALABAMA ARNG PELHAM RANGE TS,1,,US,CALHOUN,AL,33.71795,-85.95026,598,3.9,09P0,12P0,20220201,DMT,,
75200,OMT,MILITARY BASES,ANNISTON ARMY DEPOT,1,,US,CALHOUN,AL,33.65323,-85.96934,890,3.4,09P0,12P0,20220201,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",ANNISTON REGIONAL,214,EMB/YR,US,CALHOUN,AL,33.58817,-85.85811,594,0.65,09P0,12P0,20201015,DMT,,
60000,ECON,DEFENSE INDUSTRIAL BASE,BAE SYSTEMS COMBAT VEHICLES ANNISTON AL,"570,000,000",$$$$,US,CALHOUN,AL,33.65889,-85.85782,731,0.05,14Q7,16Q7,20220202,DMT,,
60000,ECON,DEFENSE INDUSTRIAL BASE,BAE SYSTEMS LAND & ARMAMENTS ANNISTON AL,"570,000,000",$$$$,US,CALHOUN,AL,33.62037,-85.76913,645,0.10,14Q7,16Q7,20220202,DMT,,
60000,ECON,DEFENSE INDUSTRIAL BASE,GENERAL DYNAMICS LAND SYSTEMS ANNISTON AL,1,$$$$,US,CALHOUN,AL,33.61724,-85.77125,636,0.15,14Q7,16Q7,20220202,DMT,,
60000,ECON,DEFENSE INDUSTRIAL BASE,GENERAL DYNAMICS OTS ANNISTON AL,1,$$$$,US,CALHOUN,AL,33.62555,-85.79133,669,0.05,14Q7,16Q7,20220202,DMT,,
21520,ECON,NG COMPRESSOR STATIONS,NG COMPRESSOR STATION SOUT DEARMANVILLE AL,"11,250",CERT_HP,US,CALHOUN,AL,33.61966,-85.78037,645,0.02,11Q7,13Q7,20220202,DMT,,
42100,ECON,THERMAL POWER PLANTS,TPP JOHN E AMOS,"2,933",MW,US,PUTNAM,WV,38.47463,-81.82336,591,0.18,14Q7,18Q7,20220202,DMT,,
43900,ECON,DAMS,COOSA RIVER DAM (WEISS),"306,400",ACRE-FT,US,CHEROKEE,AL,34.17202,-85.75395,565,0.03,39P0,41P0,20220202,DMT,,
74201,LC3,STATE EOC,ALABAMA STATE EOC,1,,US,CHILTON,AL,32.79725,-86.56873,541,0.10,10P0,12P2,20220202,DMT,,
42200,ECON,HE POWER PLANTS,HEPP (BATH COUNTY),"2,862",MW,US,BATH,VA,38.20846,-79.80031,"2,109",0.08,16Q8,18Q8,20220202,DMT,,
42200,ECON,HE POWER PLANTS,HEPP (CHIEF JOESEPH),"2,456",MW,US,DOUGLAS,WA,47.99526,-119.64169,850,0.20,16Q8,18Q8,20220202,DMT,,
21520,ECON,NG COMPRESSOR STATIONS,NG COMPRESSOR STATION TRAN 100 BILLINGSLEY AL,"91,880",CERT_HP,US,CHILTON,AL,32.67020,-86.72078,454,0.10,11Q7,13Q7,20220202,DMT,,
47100,ECON,LOCKS,BLACK WARRIOR-TOMBIGBEE WATERWAY SYSTEM LOCK & DAM (COFFEEVILLE),"190,800",ACRE-FT,US,CHOCTAW,AL,31.75681,-88.12722,39,0.02,39P0,39P0,20220202,DMT,,
21520,ECON,NG COMPRESSOR STATIONS,NG COMPRESSOR STATION TRAN 085 BUTLER AL,"17,650",CERT_HP,US,CHOCTAW,AL,32.05704,-88.36082,471,0.02,11Q7,13Q7,20220202,DMT,,
21520,ECON,NG COMPRESSOR STATIONS,NG COMPRESSOR STATION SOUT BELL MILLS AL,"4,815",CERT_HP,US,CLEBURNE,AL,33.64042,-85.44906,"1,020",0.01,11Q7,13Q7,20220202,DMT,,
60000,ECON,DEFENSE INDUSTRIAL BASE,ALFAB ENTERPRISE AL,"350,000,000",$$$$,US,COFFEE,AL,31.30100,-85.82992,344,0.03,14Q7,16Q7,20220202,DMT,,
75200,OMT,MILITARY BASES,BASEFIELD SHELL,1,,US,COFFEE,AL,31.36260,-85.84898,399,0.40,09P0,12P0,20220201,DMT,,
80010,ECON,"AIRFIELD, CIVILIAN",ENTERPRISE MUNICIPAL,14,EMB/YR,US,COFFEE,AL,31.29972,-85.89983,358,0.50,09P0,12P0,20201015,DMT,,
